label,mid
Accelerating_and_revving_and_vroom,/m/07q2z82
Accordion,/m/0mkg
Acoustic_guitar,/m/042v_gx
Aircraft,/m/0k5j
Alarm,/m/07pp_mv
Animal,/m/0jbk
Applause,/m/028ght
Bark,/m/05tny_
Bass_drum,/m/0bm02
Bass_guitar,/m/018vs
Bathtub_(filling_or_washing),/m/03dnzn
Bell,/m/0395lw
Bicycle,/m/0199g
Bird,/m/015p6
Bird_vocalization_and_bird_call_and_bird_song,/m/020bb7
Boat_and_Water_vehicle,/m/019jd
Boiling,/m/0dv3j
Boom,/m/07qqyl4
Bowed_string_instrument,/m/0l14_3
Brass_instrument,/m/01kcd
Breathing,/m/0lyf6
Burping_and_eructation,/m/03q5_w
Bus,/m/01bjv
Buzz,/m/07pjwq1
Camera,/m/0dv5r
Car,/m/0k4j
Car_passing_by,/t/dd00134
Cat,/m/01yrx
Chatter,/m/07rkbfh
Cheering,/m/053hz1
Chewing_and_mastication,/m/03cczk
Chicken_and_rooster,/m/09b5t
Child_speech_and_kid_speaking,/m/0ytgt
Chime,/m/0f8s22
Chink_and_clink,/m/07q7njn
Chirp_and_tweet,/m/07pggtn
Chuckle_and_chortle,/m/07rgt08
Church_bell,/m/03w41f
Clapping,/m/0l15bq
Clock,/m/01x3z
Coin_(dropping),/m/0242l
Computer_keyboard,/m/01m2v
Conversation,/m/01h8n0
Cough,/m/01b_21
Crack,/m/07qs1cx
Crackle,/m/07pzfmf
Crash_cymbal,/m/0bm0k
Cricket,/m/09xqv
Crow,/m/04s8yn
Crowd,/m/03qtwd
Crumpling_and_crinkling,/t/dd00112
Crushing,/m/07plct2
Crying_and_sobbing,/m/0463cq4
Cupboard_open_or_close,/m/0642b4
Cutlery_and_silverware,/m/023pjk
Cymbal,/m/01qbl
Dishes_and_pots_and_pans,/m/04brg2
Dog,/m/0bt9lr
Domestic_sounds_and_home_sounds,/t/dd00071
Door,/m/02dgv
Drawer_open_or_close,/m/0fqfqc
Drill,/m/01d380
Drip,/m/07r5v4s
Drum,/m/026t6
Drum_kit,/m/02hnl
Electric_guitar,/m/02sgy
Engine,/m/02mk9
Engine_starting,/t/dd00130
Explosion,/m/014zdl
Fart,/m/02_nn
Female_singing,/t/dd00004
Female_speech_and_woman_speaking,/m/02zsn
Fill_(with_liquid),/m/07p7b8y
Finger_snapping,/m/025_jnm
Fire,/m/02_41
Fireworks,/m/0g6b5
Fixed-wing_aircraft_and_airplane,/m/0cmf2
Fowl,/m/025rv6n
Frog,/m/09ld4
Frying_(food),/m/0dxrf
Gasp,/m/07s0dtb
Giggle,/m/07r660_
Glass,/m/039jq
Glockenspiel,/m/0dwtp
Gong,/m/0mbct
Growling,/m/0ghcn6
Guitar,/m/0342h
Gull_and_seagull,/m/01dwxx
Gunshot_and_gunfire,/m/032s66
Gurgling,/m/07swgks
Hammer,/m/03l9g
Hands,/m/0k65p
Harmonica,/m/03qjg
Harp,/m/03m5k
Hi-hat,/m/03qtq
Hiss,/m/07rjwbb
Human_group_actions,/t/dd00012
Human_voice,/m/09l8g
Idling,/m/07pb8fc
Insect,/m/03vt0
Keyboard_(musical),/m/05148p4
Keys_jangling,/m/03v3yw
Knock,/m/07r4wb8
Laughter,/m/01j3sz
Liquid,/m/04k94
Livestock_and_farm_animals_and_working_animals,/m/0ch8v
Male_singing,/t/dd00003
Male_speech_and_man_speaking,/m/05zppz
Mallet_percussion,/m/0j45pbj
Marimba_and_xylophone,/m/0dwsp
Mechanical_fan,/m/02x984l
Mechanisms,/t/dd00077
Meow,/m/07qrkrw
Microwave_oven,/m/0fx9l
Motor_vehicle_(road),/m/012f08
Motorcycle,/m/04_sv
Musical_instrument,/m/04szw
Ocean,/m/05kq4
Organ,/m/013y1f
Packing_tape_and_duct_tape,/m/05mxj0q
Percussion,/m/0l14md
Piano,/m/05r5c
Plucked_string_instrument,/m/0fx80y
Power_tool,/m/0_ksk
Printer,/m/01m4t
Purr,/m/02yds9
Race_car_and_auto_racing,/m/0ltv
Rain,/m/06mb1
Raindrop,/m/07r10fb
Ratchet_and_pawl,/m/02bm9n
Rattle,/m/07qn4z3
Rattle_(instrument),/m/05r5wn
Respiratory_sounds,/m/09hlz4
Ringtone,/m/01hnzm
Run,/m/06h7j
Sawing,/m/01b82r
Scissors,/m/01lsmm
Scratching_(performance_technique),/m/01hgjl
Screaming,/m/03qc9zr
Screech,/m/07q8k13
Shatter,/m/07rn7sz
Shout,/m/07p6fty
Sigh,/m/07plz5l
Singing,/m/015lz1
Sink_(filling_or_washing),/m/0130jx
Siren,/m/03kmc9
Skateboard,/m/06_fw
Slam,/m/07rjzl8
Sliding_door,/m/02y_763
Snare_drum,/m/06rvn
Sneeze,/m/01hsr_
Speech,/m/09x0r
Speech_synthesizer,/m/0brhx
Splash_and_splatter,/m/07rrlb6
Squeak,/m/07q6cd_
Stream,/m/0j6m2
Strum,/m/07s0s5r
Subway_and_metro_and_underground,/m/0195fx
Tabla,/m/01p970
Tambourine,/m/07brj
Tap,/m/07qcpgn
